text,created_at,hashtags
"[9:25AM] #Coconut #Apapa #IncidentReport 

A broken down loaded containerized truck with mechanical fault at the center of the road by Coconut inward Mile 2. The owners are making effort to fix it, while our officers are on scene monitoring the situation. https://t.co/UMSJiTJLDY",Thu Jan 23 08:27:12 +0000 2025,"['Coconut', 'Apapa', 'IncidentReport']"
"[9:10AM] #Sunrise #Apapa #IncidentReport

A lone accident of a loaded truck laden with 40ft container fell on its side at Sunrise inward Mile 2 by service lane. Our officers are on ground diverting traffic on the service lane to the main carriageway, while tow truck has been https://t.co/ddGi0TPqIk",Thu Jan 23 08:17:12 +0000 2025,"['Sunrise', 'Apapa', 'IncidentReport']"
"[8:50AM] #LagosAbkExp #IncidentReport 

A lone accident of a coaster bus that ran into the ditch due to brake failure at Awori inward Abule Egba.
Tow vehicle is already on ground for recovery while our officers are on scene monitoring the situation. https://t.co/1IOPTsCvii",Thu Jan 23 07:53:39 +0000 2025,"['LagosAbkExp', 'IncidentReport']"
"[8:25AM] #VI #IncidentReport 

A broken down loaded containerized truck with tyre problem at Civic center inward SandField. The owner is working on it, while our officers are on scene monitoring the situation. https://t.co/Y8snGoJF8E",Thu Jan 23 07:26:24 +0000 2025,"['VI', 'IncidentReport']"
"[8:15AM] #LagosBdgExp #IncidentReport 

A broken down long bucket truck having gas problem at Mechanic bus stop inward Agbara, Lagos Badagry Expressway. Effort is ongoing for its evacuation while our officers are on ground monitoring the situation. https://t.co/kvRik6D83w",Thu Jan 23 07:16:27 +0000 2025,"['LagosBdgExp', 'IncidentReport']"
"[8:10AM] #JakandeRoundabout #IncidentReport 

A broken down containerized truck having mechanical fault at Jakande Roundabout. LCC tow truck has been contacted while our officers are managing the traffic situation effectively. https://t.co/lJRCYn9f7k",Thu Jan 23 07:11:43 +0000 2025,"['JakandeRoundabout', 'IncidentReport']"
"[8AM] #3MB #IncidentReport 

A broken down loaded truck at Ilaje inward Iyana Oworo having tyre fault. 

Effort is on to evacuate it off the road while our officers are on scene monitoring the situation.

#followLASTMA https://t.co/mRfKgb32zQ",Thu Jan 23 07:01:18 +0000 2025,"['3MB', 'IncidentReport', 'followLASTMA']"
"[7:45AM] #IyanaIba #IncidentReport 

A broken down fully loaded PMS tanker having mechanical fault at Iyana Iba along LASU. The owners are working on it while our officers are on ground monitoring the situation. https://t.co/JlRiR3e5Mf",Thu Jan 23 06:56:40 +0000 2025,"['IyanaIba', 'IncidentReport']"
"[7:40AM] #AgegeMotorRd #IncidentReport 

A broken down truck with shaft problem at Ile Zik inward Cement, which is not affecting vehicular movement presently. Evacuation process has been initiated while our officers are on scene monitoring the situation. https://t.co/JVIqzRBw77",Thu Jan 23 06:53:31 +0000 2025,"['AgegeMotorRd', 'IncidentReport']"
"[7:20AM] #IyanaIshasi #IncidentReport 

A broken down empty 40ft containerized truck at Iyana Ishasi Bus Stop inward Mile 2. Effort is ongoing for its evacuation while our officers are scene monitoring the situation. https://t.co/m6haV91hv8",Thu Jan 23 06:20:57 +0000 2025,"['IyanaIshasi', 'IncidentReport']"
"[6:57AM] #AbuleAdo #IncidentReport 

A broken down loaded 40ft containerized truck with mechanical problem at Abule Ado Service lane inward Mile 2. Tow truck has been contacted, while our officers are on the monitoring the situation. 
The impediment is not affecting traffic https://t.co/piBXdSw72U",Thu Jan 23 05:57:19 +0000 2025,"['AbuleAdo', 'IncidentReport']"
"[6:38AM] #JakandeEstate #IncidentReport 

An overnight broken down 6-tyre truck with tyre problem inside Jakande Estate inward Ijegun. The driver is not sighted, while the impediment has no effect on traffic presently.

Our officers are on scene monitoring the situation https://t.co/m2babv9u3s",Thu Jan 23 05:40:14 +0000 2025,"['JakandeEstate', 'IncidentReport']"
"[6:31AM] #EkoBridge #TrafficUpdate 

Movement is still smooth on Eko bridge onward Offin Canal at this hour despite reduction of lanes to two due to the ongoing expansion joint repair on the bridge.

#followLASTMA https://t.co/6K0FfvV5je",Thu Jan 23 05:33:40 +0000 2025,"['EkoBridge', 'TrafficUpdate', 'followLASTMA']"
"[9:04PM] #Apongbon #TrafficUpdate 

Movement on CMS Bridge inward Offin Canal market down to Ijora Olopa by NEPA intersection is good.

Steady movement on Broad Street down to Apongbon underneath the bridge to connect Offin Canal market and Olowogbowo.

Eko Bridge on the return https://t.co/GlWs4fVuye",Wed Jan 22 20:07:04 +0000 2025,"['Apongbon', 'TrafficUpdate']"
"[8:22PM] #OguduAlapere #TrafficUpdate 

Descending Gbagada Bridge and Olopomeji connecting Car Wash, Ifako, Ogudu down to Estate Alapere has finally subsided.

Estate Alapere connecting Apostolic Church, Ojota Bridge down to Ikosi junction is better.

Ikosi junction connecting",Wed Jan 22 19:29:27 +0000 2025,"['OguduAlapere', 'TrafficUpdate']"
"[8:17PM] #PWD #TrafficUpdate 

Good movement from Bolade junction inward Ajayi Farm through National and Ikeja Along flyover

Good from Ajayi Farm inw Ile-zik, Ile-zik connecting Sule Junction and Iyana Dopemu is also good.

The return journey is very good.

#FollowLASTMA",Wed Jan 22 19:22:57 +0000 2025,"['PWD', 'TrafficUpdate', 'FollowLASTMA']"
"[7:40PM] #Maryland_Ikeja #TrafficUpdate 

Busy movement along Anthony inward Maryland intersection enroute Odo'yalaro and Mobolaji Bank Anthony Way respectively.

Slow movement along Kodesoh Road onward Oba Akran Road.

Movement along Oba Akran Road inward Kodesoh Road, Local",Wed Jan 22 18:51:54 +0000 2025,"['Maryland_Ikeja', 'TrafficUpdate']"
"[7:24PM] #LagosIsland #TrafficUpdate 

Good movement from Adekunle intersection on 3rd Mainland Bridge inward Adeniji Adele Road.
Inw Ilubirin stretch down to Obalende Bridge and Onikan descending Flag House is good.
Inw CMS Bridge down to UBA connecting Apongbon is also good. https://t.co/acNL4UxzOc",Wed Jan 22 18:32:58 +0000 2025,"['LagosIsland', 'TrafficUpdate']"
"[6:45PM] #IyanaOworo #TrafficUpdate 

Movement on the 3rd Mainland Bridge from Adekunle inward Water Font is good.
Approaching Iyana Oworo is a bit slow due to the high influx.
Officers are very much on ground doing the needful. 

#FollowLASTMA https://t.co/kyqk2dIgGw",Wed Jan 22 17:59:23 +0000 2025,"['IyanaOworo', 'TrafficUpdate', 'FollowLASTMA']"
"[6:30PM] #LekkiAjah #TrafficUpdate 

Busy movement from Lekki inward Marwa down to Ikate due to influx. 

Ikate inward Chsico down to Jakande roundabout inward Igbo Efon is good.

Igbo Efon inward Chevron, VGC, Ilaje down to Ajah is good.

Return Journey from Ilaje inward Chevron",Wed Jan 22 17:46:14 +0000 2025,"['LekkiAjah', 'TrafficUpdate']"
"[5:40PM] #PWD #TrafficUpdate 

Movement from Bolade intersection is steady towards Ladipo, Shogunle, and National.
Further movement from National is a steady pace as it ascends Ikeja Along towards Ajayi Farm.

Traffic flow between Ajayi Farm and Ile-zik, and subsequently from https://t.co/AKzAkDsd0d",Wed Jan 22 16:44:24 +0000 2025,"['PWD', 'TrafficUpdate']"
"[5:36PM] #OjoduBerger #TrafficUpdate 

Traffic flow is currently smooth from Kara Opic inward towards Berger Oke down to Otedola, with return traffic also moving freely.
At the Isheri Olowoira/New Garage intersection, inward traffic towards River Valley to Kosoko is experiencing https://t.co/PbsUQG6WlQ",Wed Jan 22 16:40:24 +0000 2025,"['OjoduBerger', 'TrafficUpdate']"
"[5:19PM] #EbuteEro #Apongbon #TrafficUpdate 

Traffic  on CMS Bridge  towards Offin Canal Market, congestion is attributed to market activities, both incoming and outgoing vehicular traffic, and the typical closing hour rush. However, the road from Offin Canal Market towards https://t.co/hiL4D06gEE",Wed Jan 22 16:22:15 +0000 2025,"['EbuteEro', 'Apongbon', 'TrafficUpdate']"
"[4:32PM] #IkoroduRoad #Owode #IncidentReport 

A serious accident involving a DAF Tipper and a Volvo  Truck has ccurred at Rasco between Irawo and Idera on the inward Mile 12 route. No casualties were reported, and efforts are currently underway to remove the vehicles from the https://t.co/fYtsXE7UcW",Wed Jan 22 15:37:03 +0000 2025,"['IkoroduRoad', 'Owode', 'IncidentReport']"
"[4:12PM] #VI #TrafficUpdate 

Traffic descending from the Mecwen Bridge towards Bonny Camp Roundabout, is moving steadily. Traffic moving towards Kofo Abayomi from Bonny Camp, en route to Kilimanjaro, is also encouraging. However, traffic is busy but moving along Kilimanjaro https://t.co/B77KImPgV6",Wed Jan 22 15:19:14 +0000 2025,"['VI', 'TrafficUpdate']"
"[11:45AM] #lagbadgryExpWay
#AbuleAdo
#TrafficUpdate

At this hour,we are now experiencing free flow of vehicular movement at Abule Ado on both the service lane and the main carriageway.
Our traffic managers are well-positioned for adequate monitoring in case of any eventuality. https://t.co/pOL80D03l9",Wed Jan 22 11:02:02 +0000 2025,"['lagbadgryExpWay', 'AbuleAdo', 'TrafficUpdate']"
"[8:16AM] #LagIbdExpWay
#3MB
#TrafficUpdate

We are experiencing a rapid vehicular movement from Berger heading towards Otedola and Tollgate.
Traffic moves slowly at 7up/Motor ways due to  bus stop activities.

Moving ahead to Ogudu and Iyana Oworo is fair.
Connecting the Third",Wed Jan 22 07:21:27 +0000 2025,"['LagIbdExpWay', '3MB', 'TrafficUpdate']"
"[8AM] #Ikorodu
#Ogolonto
#BreakdownReport

Traffic moves slowly exiting Agric Inward Ogolonto due to alternation, coupled with a broken down water tanker that occupied 40% of the road at the construction area in Ogolonto.
#FollowLASTMA https://t.co/UGQPs682OT",Wed Jan 22 07:08:08 +0000 2025,"['Ikorodu', 'Ogolonto', 'BreakdownReport', 'FollowLASTMA']"
"[7:11AM] #Egbeda
#AccidentReport

An empty tanker had its front tyre in a drainage and occupied 40% of the road at Egbeda intersection inward Iyana Ipaja.

A tow vehicle is on its way for its removal.
Traffic is well maintained by our personnel around the location.
#FollowLASTMA https://t.co/oJF616j3k6",Wed Jan 22 06:15:55 +0000 2025,"['Egbeda', 'AccidentReport', 'FollowLASTMA']"
"[7AM] #Command
#Ayobo
#TrafficUpdate

Megida is cool while Amule and Church round about looks good  also.

Command Secondary School is free, also iyana Meiran and Ekoro junction.

Traffic light is working perfectly at Ekoro and ile iwe intersection and our Officers are firmly on https://t.co/B5jTL1rfTB",Wed Jan 22 06:07:46 +0000 2025,"['Command', 'Ayobo', 'TrafficUpdate']"
"[6:37AM]  #ApapaOshodiExpWay
#Lacasera
#BreakdownReport

There's an overnight broken down loaded truck with a bearing problem at Lacasera inward Oshodi.
A Tow van is expected to arrive soon for its removal.
Men of LASTMA are at the location to monitor the situation.
#FollowLASTMA https://t.co/pjnMjBHnEw",Wed Jan 22 05:45:33 +0000 2025,"['ApapaOshodiExpWay', 'Lacasera', 'BreakdownReport', 'FollowLASTMA']"
"[6:23AM] #Ketu
#BreakdownReport

There's a truck experiencing Gas related problem at Ile ile inward Kosofe on the main carriage way with minimal effect on traffic flow., Drive cautiously while approaching the location.

The owner is making an effort to do the needful and our https://t.co/j04nNK20RE",Wed Jan 22 05:30:31 +0000 2025,"['Ketu', 'BreakdownReport']"
"[6:20AM] #AgegeMotorRd
#TrafficUpdate
Traffic is looking good from Iyana Dopemu inward Ile-zik, connecting Sule junction is not bad either.

Ile-zik to Ajayi farm, Ikeji and National is an encouraging traffic flow for now.

Proceeding towards Bolade-Oshodi is faster.
The return https://t.co/F83Bx1kksH",Wed Jan 22 05:26:27 +0000 2025,"['AgegeMotorRd', 'TrafficUpdate']"
"[6:15AM] #Ikorodu
#Ketu
#TrafficUpdate

It's still an encouraging flow from Benson towards Ogolonto and Majidun aside from traffic light alternation delay along the stretch.
Vehicular movement from Elerangbe, Ajegunle to Irawo, Owode Onirin, Mile 12 bridge/under bridge down to https://t.co/ud97LEeKNw",Wed Jan 22 05:22:14 +0000 2025,"['Ikorodu', 'Ketu', 'TrafficUpdate']"
"[8:10PM] #Agege #BreakdownReport

A truck broke down due to a faulty clutch just underneath the bridge by Total Petrol Station.  

Efforts are ongoing to get it off the road as it is hindering traffic flow.

Our Men are on ground.

@Sola_Giwa @Mr_JAGs @GoldmyneTV @gm_lastma https://t.co/VDc26zxOTa",Tue Jan 21 19:27:58 +0000 2025,"['Agege', 'BreakdownReport']"
"[7:35PM] #ThirdMainlandBridge #3MB #TrafficUpdate 

Traffic is fluid from Obalende inwards Ilubirin merging point, likewise good traffic from Osborne to Ilubirin on to Adeniji to Adekunle, Unilag WaterFront approaching Ilaje where it starts getting slow to the Exit Layby.

Our https://t.co/nmGCmztokd",Tue Jan 21 18:44:32 +0000 2025,"['ThirdMainlandBridge', '3MB', 'TrafficUpdate']"
"[4:35PM] #AgegeMotorRoad #TrafficUpdate 

As you leave Oshodi, traffic is also a bit slow, then better as you leave Brown junction to Bolade, Ladipo, Shogunle, PWD, Airport bus stop, National via the Ikeja Overpass to Ajayi Farm and Ile Zik.

Traffic to Sule junction and https://t.co/hLVD7g9OUA",Tue Jan 21 15:47:34 +0000 2025,"['AgegeMotorRoad', 'TrafficUpdate']"
"[4:30PM] #VI #VictoriaIsland #BreakdownReport 

A Container Laden truck has broken down between Akin Adesola/Ozumba Mbadiwe intersection and underneath the Falomo Bridge inwards Law School, taking up a lane in the process.

Efforts are ongoing to get it moving even as our Men https://t.co/XDqRMHkjLy",Tue Jan 21 15:39:38 +0000 2025,"['VI', 'VictoriaIsland', 'BreakdownReport']"
